*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CyGate4
*Date=12:25:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;53.7777;-70.5081;0;Bottom;Via17
2;;;50.8565;-47.5635;0;Bottom;TXT38
3;;;133.809;-121.289;0;Bottom;Via107
4;;;33.7618;-3.8848;0;Bottom;TXT25
5;;;192.935;-103.791;-90;Bottom;TXT25
6;;;144.435;-3.15814;0;Bottom;TXT30
7;;;109.966;-2.88174;0;Bottom;TXT23
8;;;154.347;-45.8653;0;Bottom;TXT72
9;;;128.857;-2.97709;0;Bottom;TXT27
10;;;138.889;-57.7892;0;Bottom;Via66
11;10k;THT;49.9896;-33.6591;-90;Bottom;R10
12;;;4.26549;-69.2077;0;Bottom;Via36
13;;;4.26549;-43.8477;0;Bottom;Via37
14;;;36.9531;-1.7257;0;Bottom;TXT61
15;;300 mil [THT];30.9396;-32.4145;90;Bottom;D4
16;;300 mil [THT];38.5596;-32.4145;90;Bottom;D5
17;;relay-jzc;174.469;-64.1393;90;Bottom;REL4
18;;;150.294;-120.021;0;Bottom;Via46
19;;;123.634;-114.911;0;Bottom;Via42
20;0.1mF;100 mil [THT, multilayer];146.51;-111.129;90;Bottom;C8
21;;;34.7345;-62.891;0;Bottom;Via9
22;;THT;119.487;-7.75125;90;Bottom;J18
23;;;65.2295;-41.2792;0;Bottom;Via78
24;;;83.9268;-11.1475;0;Bottom;TXT77
25;;;95.7095;-66.6792;0;Bottom;Via88
26;;;9.49068;-81.778;90;Bottom;TXT73
27;;THT;31.8565;-7.75125;90;Bottom;J5
28;;300 mil [THT];23.3196;-32.4145;90;Bottom;D3
29;;;141.469;-60.29;0;Bottom;Via54
30;;;133.81;-104.779;0;Bottom;Q1
31;;;152.895;-88.2509;0;Bottom;Via103
32;;;80.5998;-33.7579;-90;Bottom;TXT82
33;;;116.029;-46.3592;0;Bottom;Via72
34;;;104.642;-84.2563;0;Bottom;TXT39
35;;;155.403;-114.911;0;Bottom;Via43
